DATA;ORA_REGISTRAZIONE;LUOGO;CIVICO;INTERSEZIONE_STRADALE;TIPOLOGIA;NATURA_SINISTRO;VEICOLI;MASCHI;FEMMINE;PROGNOSI_MIN_30_GIORNI;PROGNOSI_MAG_30_GIORNI;PROGNOSI_RISERVATA;DECEDUTI
2015-02-23;16:03:00;VIA TRENTINO;;;Incidente stradale senza feriti;Urto laterale;2;1;1;0;0;0;0;
2015-02-23;11:35:00;PIAZZA GIOVANNI XXIII;59;;Danneggiamento;Caduta dal veicolo x Buca;1;1;0;0;0;0;0;
2015-02-24;08:28:00;VIA LANUSEI;69;;Danneggiamento;Urto con cassonetto;1;0;0;0;0;0;0;
2015-02-24;17:39:00;ASSE MEDIANO DI SCORRIMENTO;;ROTATORIA CADELLO/SANTA MARIA CHIARA;Incidente stradale con feriti;Tamponamento;3;1;2;2;0;0;0;
2015-02-24;00:41:00;VIALE MONASTIR;< x >;VIA PUGLIA;Incidente stradale con feriti;Tamponamento;2;3;0;2;0;0;0;
2015-02-24;16:40:00;VIA SCANO;8;;Danneggiamento;Urto con cassonetto;1;0;0;0;0;0;0;
2015-02-24;16:06:00;VIA DEI GENOVESI;104;;Danneggiamento;Cornicione su auto;1;0;0;0;0;0;0;
2015-02-24;14:55:00;VIA CALAMOSCA;;;Danneggiamento;Ramo su auto;0;0;0;0;0;0;0;
2015-02-24;12:06:00;VIALE DIAZ;< x >;VIA AOSTA;Danneggiamento;Ramo su auto;1;0;0;0;0;0;0;
2015-02-24;22:53:00;VIA CAO DI S.MARCO;< x >;VIA GIUD. TORBENO;Danneggiamento;Ramo su auto;2;0;0;0;0;0;0;
2015-02-24;10:49:00;VIA BELLINI;36-38;;Danneggiamento;Danneggiamento auto in sosta;1;0;0;0;0;0;0;
2015-02-24;19:17:00;VIA MACOMER;11;;Incidente stradale senza feriti;Urto con veicolo in sosta;3;2;0;1;0;0;0;
2015-02-25;20:38:00;VIA ROMA;;PIAZZA MATTEOTTI;Incidente stradale con feriti;Investimento di pedone;1;2;0;1;0;0;0;
2015-02-25;17:30:00;PIAZZA SILESU;3;;Danneggiamento;Cornicione su auto;1;0;0;0;0;0;0;
2015-02-25;11:54:00;VIALE S.VINCENZO;< x >;VIA LA VEGA;Incidente stradale senza feriti;Tamponamento;2;1;1;0;0;0;0;
2015-02-25;10:26:00;VIA GIUD. GUGLIELMO;;VIA DEI GIUDICATI;Incidente stradale con feriti;Precedenza;3;0;2;1;0;0;0;
2015-02-26;12:27:00;VIA LUNIGIANA;11;;Incidente stradale senza feriti;Urto con veicolo in sosta;2;0;1;0;0;0;0;
2015-02-26;12:05:00;VIA DEGLI ANCARANI;< x >;VIA JENNER;Danneggiamento;Ramo su auto;1;1;0;0;0;0;0;
